topic,rank,word,weight
Topic 1,1,ago,55.81303738237025
Topic 1,2,answered,27.291231882276282
Topic 1,3,foundation,26.760021373725085
Topic 1,4,use,16.22126518853203
Topic 1,5,coverage,16.03137021837628
Topic 1,6,bad,15.718414760456218
Topic 1,7,verified,15.372924364435223
Topic 1,8,skin,13.13800156520671
Topic 1,9,scent,12.201119296612617
Topic 1,10,purchase,12.012774948282164
Topic 2,1,skin,171.32325054242716
Topic 2,2,foundation,100.86821990404664
Topic 2,3,like,77.39875038935143
Topic 2,4,undertones,76.22483528211228
Topic 2,5,product,58.50650245234058
Topic 2,6,dry,57.35441770909756
Topic 2,7,neutral,51.200324462457935
Topic 2,8,read,45.8708863400365
Topic 2,9,fair,45.41116767235197
Topic 2,10,using,43.014857568517506
Topic 3,1,skin,184.53874789236397
Topic 3,2,light,168.48468376213506
Topic 3,3,undertones,154.4253601933462
Topic 3,4,medium,130.95809115501694
Topic 3,5,neutral,128.28953311374977
Topic 3,6,foundation,123.37175872222595
Topic 3,7,coverage,97.09247429543248
Topic 3,8,product,79.77234662330977
Topic 3,9,love,75.52946973156276
Topic 3,10,warm,58.297598741494774
