foundation_names,rating,verified_purchase,time_ago,shade,shade_depth,undertone,skin_type,skin_tone,eye_color,review_body,days_ago,clean_review_body
Dior Backstage Face & Body ,2.0,Yes,1 d ago,,,Neutral,,,, Fair skin with neutral beige undertones Something in this reacted bad with my skin which is sad because I was very excited for this product I had to return it,1.0,fair skin with neutral beige undertones something in this reacted bad with my skin which is sad because i was very excited for this product i had to return it
Dior Backstage Face & Body ,1.0,Yes,10 d ago,,,Cool,Normal,Fair,Green,"COOL - Very fair skin skin with cool undertones I don’t usually leave negative reviews but I was SO disappointed with this foundation. It’s so expensive, but it’s watery and it doesn’t cover anything. It’s made me break out, it immediately sinks into my fine lines, and wears off after only a few hours. And that’s WITH primer and setting. The photo was taken about an hour after applying. (I put TWO coats over my breakout areas) And you can see, it looks terrible. Read more",10.0,cool very fair skin skin with cool undertones i don t usually leave negative reviews but i was so disappointed with this foundation it s so expensive but it s watery and it doesn t cover anything it s made me break out it immediately sinks into my fine lines and wears off after only a few hours and that s with primer and setting the photo was taken about an hour after applying i put two coats over my breakout areas and you can see it looks terrible read more
Dior Backstage Face & Body ,,No,,,,,,,,"WARM - Fair skin with golden undertones Love the way this feels on my skin. Though there’s a slight fragrance there, it’s still good. For me, it’s more of a light coverage foundation but buildable.",,warm fair skin with golden undertones love the way this feels on my skin though there s a slight fragrance there it s still good for me it s more of a light coverage foundation but buildable
Dior Backstage Face & Body ,,No,,,,,,,,WARM - Light to medium skin with golden undertones this is a very average foundation. Not at all good for the price. Also makes skin look very oily,,warm light to medium skin with golden undertones this is a very average foundation not at all good for the price also makes skin look very oily
Dior Backstage Face & Body ,5.0,No,15 d ago,,,,,,,"NEUTRAL - Very fair skin with neutral beige undertones I love this foundation. It feels light weight but gives me a medium, natural looking coverage. But most importantly, they have a great shade range for very fair skin (which is hard to find).",15.0,neutral very fair skin with neutral beige undertones i love this foundation it feels light weight but gives me a medium natural looking coverage but most importantly they have a great shade range for very fair skin which is hard to find
Dior Backstage Face & Body ,5.0,No,17 d ago,,,,Oily,Light Medium,Brown,"NEUTRAL - Fair skin with neutral beige undertones I chose this foundation as my wedding makeup foundation and never regretted it! It is truly one of the best! It’s light but gives a good coverage at the same time. I have a very sensitive oily acne prone skin, but this product did noy cause any brake outs for me.",17.0,neutral fair skin with neutral beige undertones i chose this foundation as my wedding makeup foundation and never regretted it it is truly one of the best it s light but gives a good coverage at the same time i have a very sensitive oily acne prone skin but this product did noy cause any brake outs for me
Armani Mini Luminous Silk,,No,10 h ago,,,,Combination,,,Q: Would this work for combination skin with oily zone but dry underneath eyes for mature skin wrinkles Asked 10 h ago A: Yes it would be perfect Answered 5 h ago by Ilyx,0.4166666666666667,q would this work for combination skin with oily zone but dry underneath eyes for mature skin wrinkles asked h ago a yes it would be perfect answered h ago by ilyx
Armani Mini Luminous Silk,,No,5 h ago,,,,,,,A: Yes it would be perfect Answered 5 h ago by Ilyx,0.20833333333333334,a yes it would be perfect answered h ago by ilyx
Armani Mini Luminous Silk,,No,5 h ago,,,,,,,Yes it would be perfect Answered 5 h ago by Ilyx,0.20833333333333334,yes it would be perfect answered h ago by ilyx
Armani Mini Luminous Silk,1.0,Yes,21 h ago,,,,Oily,Fair,Brown,Verified Purchase 21 h ago New formula is so bad I’ve been using this for years and whatever they did with the new formula has ruined it. It cakes almost immediately and doesn’t melt into the skin. The original looked like a 2nd skin and this sits on top of every imperfection. Switched to hourglass veil and it’s much closer to the original Armani. Armani Beauty if you can hear us please find a way to go back. Read more,0.875,verified purchase h ago new formula is so bad i ve been using this for years and whatever they did with the new formula has ruined it it cakes almost immediately and doesn t melt into the skin the original looked like a nd skin and this sits on top of every imperfection switched to hourglass veil and it s much closer to the original armani armani beauty if you can hear us please find a way to go back read more
Armani Mini Luminous Silk,,No,,,,,,,,New formula is so bad I’ve been using this for years and whatever they did with the new formula has ruined it. It cakes almost immediately and doesn’t melt into the skin. The original looked like a 2nd skin and this sits on top of every imperfection. Switched to hourglass veil and it’s much closer to the original Armani. Armani Beauty if you can hear us please find a way to go back. Read more,,new formula is so bad i ve been using this for years and whatever they did with the new formula has ruined it it cakes almost immediately and doesn t melt into the skin the original looked like a nd skin and this sits on top of every imperfection switched to hourglass veil and it s much closer to the original armani armani beauty if you can hear us please find a way to go back read more
